Age,Gender,Married,Education,Employment,City,Dependents,Income,LoanAmount,CreditScore,TermMonths,Approved
63,Female,Yes,Graduate,Self-Employed,Bengaluru,4,55300.0,50000.0,676,60,N
49,Female,No,High School,Business,Mumbai,4,36400.0,50000.0,751,36,N
34,Female,Yes,Graduate,Salaried,Lucknow,2,51800.0,50000.0,577,36,N
48,Male,Yes,High School,Salaried,,2,44400.0,50000.0,730,60,Y
44,Male,Yes,Postgraduate,Salaried,Mumbai,2,,66000.0,626,60,Y
61,Female,Yes,High School,Salaried,Bengaluru,3,46400.0,50000.0,564,24,N
32,Female,Yes,Graduate,Salaried,Lucknow,2,58500.0,50000.0,601,36,N
65,Male,Yes,Graduate,Salaried,Mumbai,2,65400.0,50000.0,680,36,N
63,Male,Yes,,Salaried,Bengaluru,2,97500.0,73000.0,622,12,N
29,Female,No,Graduate,Salaried,Lucknow,1,26600.0,50000.0,706,84,N
28,Male,No,Graduate,Salaried,Delhi,2,33200.0,50000.0,553,36,N
44,Male,Yes,High School,Self-Employed,Pune,3,50700.0,50000.0,531,24,N
23,Female,Yes,Postgraduate,Self-Employed,Delhi,2,81800.0,68000.0,776,60,Y
34,Female,Yes,Graduate,Self-Employed,Bengaluru,4,55500.0,50000.0,743,60,Y
40,Male,Yes,Graduate,Self-Employed,Pune,4,63900.0,50000.0,607,84,N
64,Female,Yes,Postgraduate,Self-Employed,Bengaluru,2,98900.0,77000.0,680,12,Y
65,Male,No,Postgraduate,Salaried,Mumbai,4,87300.0,50000.0,751,36,Y
27,Female,,High School,Self-Employed,Bengaluru,0,24500.0,50000.0,709,12,N
,Male,No,High School,Salaried,,4,46500.0,50000.0,690,36,N
25,Male,Yes,High School,Salaried,Delhi,1,13300.0,50000.0,757,36,N
,Male,No,High School,Salaried,Delhi,2,59500.0,52000.0,629,36,N
59,Male,Yes,Graduate,Business,Bengaluru,1,60700.0,50000.0,682,84,N
61,Female,Yes,Postgraduate,,Mumbai,2,99800.0,50000.0,679,36,Y
31,Male,,Postgraduate,Salaried,Delhi,1,53400.0,50000.0,661,36,N
61,Male,No,Graduate,Salaried,Pune,3,79600.0,50000.0,653,12,Y
26,Male,Yes,Graduate,Salaried,Mumbai,0,38600.0,50000.0,685,24,Y
44,Female,No,Postgraduate,Self-Employed,Mumbai,4,97600.0,50000.0,682,84,N
42,Female,Yes,Postgraduate,Self-Employed,Mumbai,4,82800.0,50000.0,607,36,Y
35,Female,No,High School,Salaried,Delhi,2,,50000.0,736,84,N
21,Male,Yes,Graduate,Salaried,Bengaluru,2,30900.0,50000.0,612,36,N
55,Male,Yes,Postgraduate,Salaried,Mumbai,3,91300.0,74000.0,665,36,Y
36,Male,No,Graduate,Salaried,Delhi,0,41700.0,50000.0,659,36,N
50,Male,Yes,Graduate,,Lucknow,3,61100.0,58000.0,705,36,N
39,Female,Yes,Postgraduate,Self-Employed,Pune,1,73100.0,53000.0,532,12,N
37,Female,Yes,Postgraduate,Salaried,Bengaluru,3,65700.0,52000.0,742,12,Y
60,Male,Yes,Postgraduate,Salaried,Pune,1,80500.0,50000.0,633,36,Y
25,Male,Yes,Graduate,Salaried,Lucknow,3,26600.0,50000.0,765,36,Y
54,Female,Yes,High School,Salaried,Mumbai,3,26600.0,50000.0,647,36,N
54,Male,Yes,Graduate,Salaried,Bengaluru,1,57000.0,50000.0,677,36,Y
38,Male,No,Graduate,Salaried,Bengaluru,3,,50000.0,814,24,Y
32,Male,Yes,Graduate,Business,Delhi,2,30700.0,50000.0,661,60,Y
21,Male,Yes,Graduate,Salaried,Delhi,1,23600.0,50000.0,767,60,Y
,Male,Yes,Graduate,Salaried,Delhi,2,99300.0,50000.0,683,12,Y
63,Male,Yes,Graduate,Salaried,Bengaluru,4,70200.0,50000.0,709,36,Y
31,Male,Yes,Graduate,Salaried,Pune,0,52900.0,50000.0,685,60,Y
22,Female,No,Graduate,Self-Employed,Pune,4,48600.0,50000.0,739,60,Y
26,Male,No,Graduate,Salaried,Mumbai,4,52500.0,50000.0,632,24,N
24,Male,Yes,,Self-Employed,Delhi,2,12000.0,50000.0,611,84,N
58,Female,Yes,High School,Self-Employed,Mumbai,3,55500.0,50000.0,635,60,N
61,Female,Yes,,Salaried,Mumbai,1,76600.0,53000.0,687,36,Y
27,Male,Yes,Graduate,Self-Employed,,0,74800.0,68000.0,665,60,Y
54,Male,Yes,High School,Business,Pune,2,35600.0,50000.0,730,84,N
29,Female,No,Graduate,Salaried,Lucknow,4,34600.0,50000.0,,24,Y
37,Male,Yes,Graduate,Salaried,Pune,1,41900.0,50000.0,,12,N
,Male,Yes,High School,Business,Lucknow,3,30400.0,50000.0,629,36,N
53,Female,Yes,Graduate,Business,Mumbai,3,85000.0,73000.0,579,12,N
60,Male,Yes,,Salaried,Delhi,3,89200.0,50000.0,822,84,Y
23,Female,Yes,Graduate,Salaried,Delhi,1,36100.0,50000.0,701,84,Y
29,Male,Yes,,Salaried,Mumbai,1,16400.0,50000.0,714,60,N
33,Female,No,High School,Self-Employed,Delhi,2,12000.0,50000.0,586,84,N
34,Male,Yes,High School,Salaried,Delhi,4,33800.0,50000.0,680,12,N
65,Male,Yes,Graduate,Salaried,Lucknow,4,75800.0,55000.0,716,60,Y
55,Male,Yes,High School,Self-Employed,Delhi,2,47800.0,50000.0,662,36,N
35,Male,No,Postgraduate,Business,Lucknow,4,75300.0,50000.0,755,24,Y
64,Female,Yes,High School,Self-Employed,Pune,2,68400.0,50000.0,842,24,Y
43,Male,No,Graduate,Salaried,Bengaluru,1,63700.0,50000.0,614,36,N
43,Male,No,Graduate,Salaried,Bengaluru,0,56000.0,50000.0,608,60,N
40,Female,Yes,Graduate,Business,Mumbai,3,43900.0,50000.0,619,12,N
27,Female,No,High School,Business,Bengaluru,3,38400.0,50000.0,792,60,Y
63,Male,Yes,Postgraduate,Salaried,,4,98000.0,50000.0,753,84,Y
21,Male,No,Postgraduate,Self-Employed,Lucknow,3,70700.0,65000.0,671,12,N
28,Female,Yes,High School,Salaried,Mumbai,0,40800.0,50000.0,683,84,N
31,Female,No,High School,Salaried,Delhi,2,16900.0,50000.0,623,60,N
,Female,Yes,Postgraduate,Salaried,Bengaluru,3,53600.0,50000.0,742,24,Y
26,Female,Yes,Graduate,Salaried,Bengaluru,2,35400.0,50000.0,653,60,N
21,Female,Yes,High School,Salaried,Mumbai,2,12300.0,50000.0,662,60,N
51,Male,No,High School,,Bengaluru,4,61100.0,50000.0,723,60,Y
64,Male,Yes,Graduate,Salaried,Delhi,3,82900.0,50000.0,667,12,Y
26,Male,Yes,Graduate,Salaried,Bengaluru,3,,50000.0,664,12,Y
34,Female,No,Graduate,Salaried,Delhi,2,56500.0,50000.0,681,60,Y
43,Female,No,Postgraduate,Salaried,Delhi,1,82300.0,50000.0,736,24,N
62,Male,Yes,Graduate,Salaried,Delhi,2,91300.0,50000.0,795,24,Y
52,Male,Yes,Graduate,Salaried,Mumbai,4,73500.0,50000.0,721,36,Y
,Male,Yes,Graduate,,Mumbai,3,,50000.0,736,60,Y
47,Female,No,Graduate,Self-Employed,Mumbai,3,81200.0,50000.0,666,12,Y
39,Male,Yes,High School,Business,Delhi,0,42600.0,50000.0,,84,N
29,Male,No,,Salaried,Delhi,4,28500.0,50000.0,726,36,N
59,Male,Yes,Graduate,Business,Mumbai,1,64100.0,50000.0,692,12,Y
57,Male,Yes,,Business,Delhi,4,80800.0,50000.0,580,12,N
22,Male,Yes,High School,Self-Employed,Bengaluru,2,40700.0,50000.0,,84,N
53,Male,Yes,Graduate,Self-Employed,Lucknow,4,68200.0,50000.0,674,12,N
24,Male,No,Graduate,Self-Employed,Mumbai,4,58400.0,50000.0,644,36,N
54,Male,Yes,Graduate,,Lucknow,3,46100.0,50000.0,784,60,Y
58,Male,Yes,Graduate,Self-Employed,Delhi,4,72600.0,50000.0,714,36,N
26,Male,No,,Salaried,Delhi,3,64000.0,61000.0,776,24,Y
40,Male,No,Graduate,Business,Bengaluru,4,48400.0,50000.0,,12,N
26,Female,No,High School,Salaried,Pune,0,58100.0,50000.0,686,60,N
46,Male,Yes,Graduate,,Pune,0,61700.0,50000.0,614,36,N
62,Male,Yes,Graduate,Salaried,Delhi,2,72000.0,50000.0,681,12,Y
24,Male,No,High School,Salaried,Pune,4,28000.0,50000.0,,12,N
38,Male,Yes,High School,Salaried,Mumbai,3,16300.0,50000.0,,36,N
64,Male,Yes,High School,Salaried,Mumbai,2,54600.0,50000.0,642,12,N
,Male,No,Graduate,Salaried,Delhi,2,63500.0,50000.0,657,24,N
26,Female,,Graduate,Salaried,Lucknow,3,37000.0,50000.0,709,12,N
,Male,Yes,High School,Salaried,Delhi,4,,50000.0,,60,Y
43,Male,,Postgraduate,Salaried,Pune,4,95500.0,84000.0,639,60,N
50,Male,,Postgraduate,Salaried,Bengaluru,0,102200.0,50000.0,713,60,Y
35,Male,Yes,,Business,Bengaluru,2,,50000.0,667,12,Y
64,Male,Yes,Postgraduate,Salaried,Bengaluru,1,93200.0,50000.0,479,24,N
44,Female,Yes,High School,Salaried,Pune,3,42800.0,50000.0,646,24,N
33,Female,Yes,Postgraduate,Salaried,Delhi,2,61200.0,55000.0,756,60,Y
64,Male,No,Postgraduate,Salaried,Delhi,4,86800.0,50000.0,562,84,N
62,Male,No,High School,Salaried,Bengaluru,2,49400.0,50000.0,688,24,N
43,Male,Yes,Graduate,Self-Employed,Mumbai,3,52400.0,50000.0,791,60,Y
22,Male,Yes,Postgraduate,Business,Delhi,0,48500.0,50000.0,627,36,N
,Female,No,Postgraduate,Salaried,Delhi,4,64600.0,53000.0,680,84,Y
45,Male,Yes,Postgraduate,Self-Employed,Mumbai,0,84200.0,50000.0,589,12,Y
27,Male,Yes,Graduate,Salaried,Delhi,1,48200.0,50000.0,794,84,Y
49,Female,Yes,High School,Salaried,Delhi,4,70600.0,50000.0,674,36,N
58,Male,No,,Salaried,Lucknow,4,85300.0,50000.0,683,24,N
25,Male,Yes,Graduate,Salaried,Mumbai,2,,50000.0,775,12,Y
53,Female,No,Graduate,Self-Employed,Lucknow,2,72600.0,50000.0,726,84,Y
27,Male,Yes,Graduate,Self-Employed,Lucknow,0,339200.0,50000.0,619,84,N
54,Male,Yes,Graduate,Self-Employed,Delhi,4,78600.0,56000.0,635,12,N
39,Male,Yes,High School,Salaried,Bengaluru,0,50500.0,50000.0,715,36,Y
21,Female,Yes,Graduate,Self-Employed,,0,43900.0,50000.0,636,60,N
64,Male,Yes,High School,Salaried,Bengaluru,2,60600.0,50000.0,532,36,N
28,Male,Yes,Graduate,Salaried,Delhi,0,42000.0,50000.0,676,12,N
47,Male,Yes,Postgraduate,Salaried,Delhi,0,67000.0,58000.0,576,24,N
29,Male,Yes,Graduate,Self-Employed,Delhi,3,300000.0,50000.0,793,24,Y
62,Female,Yes,Graduate,Business,Bengaluru,3,69400.0,50000.0,692,24,Y
54,Male,Yes,Graduate,Salaried,Lucknow,1,56200.0,50000.0,617,84,N
57,Male,No,Postgraduate,Salaried,Bengaluru,3,97700.0,75000.0,631,24,N
40,Male,Yes,Graduate,Self-Employed,Bengaluru,3,71500.0,68000.0,548,60,N
42,Female,No,Graduate,Self-Employed,Lucknow,1,48000.0,50000.0,603,84,N
49,Male,No,High School,Salaried,Bengaluru,3,53600.0,50000.0,751,60,Y
56,Female,Yes,High School,Self-Employed,Delhi,2,44100.0,50000.0,836,60,Y
59,Female,No,Graduate,Self-Employed,Pune,4,70500.0,60000.0,731,12,Y
21,Male,No,Postgraduate,Business,Mumbai,0,51700.0,50000.0,674,12,N
50,Female,Yes,Graduate,Salaried,Delhi,1,73300.0,50000.0,650,60,Y
25,Female,Yes,High School,Business,Mumbai,1,20500.0,50000.0,,60,N
33,Male,Yes,Postgraduate,Salaried,Lucknow,1,82900.0,63000.0,824,60,Y
58,Female,Yes,Graduate,Self-Employed,Delhi,4,70400.0,60000.0,667,36,Y
32,Male,Yes,Postgraduate,Salaried,Mumbai,3,62100.0,50000.0,828,36,Y
,Female,No,High School,Salaried,Delhi,2,41500.0,50000.0,778,12,N
41,Female,,Graduate,Salaried,Delhi,2,61000.0,50000.0,558,24,N
31,Male,Yes,Postgraduate,Salaried,Delhi,4,79700.0,50000.0,633,36,N
36,Female,No,High School,Salaried,Bengaluru,2,41800.0,50000.0,633,12,N
44,Male,Yes,Graduate,Salaried,Pune,1,87600.0,70000.0,674,12,Y
55,Female,No,Postgraduate,Salaried,Delhi,0,107800.0,102000.0,676,12,Y
48,Female,Yes,High School,Salaried,Delhi,1,45600.0,50000.0,890,24,Y
62,Male,No,High School,Self-Employed,Delhi,3,58100.0,50000.0,605,84,N
,Male,No,Graduate,Business,Delhi,2,80700.0,50000.0,696,60,Y
54,Male,Yes,Graduate,Self-Employed,Bengaluru,2,59600.0,50000.0,723,84,Y
,Male,Yes,High School,Salaried,Bengaluru,2,63300.0,50000.0,680,24,Y
34,Male,No,Graduate,Salaried,Bengaluru,4,56000.0,50000.0,688,36,N
39,Male,Yes,Graduate,Business,Mumbai,4,59300.0,50000.0,607,84,N
26,Male,Yes,High School,Salaried,Bengaluru,0,,50000.0,687,24,N
37,Male,No,Graduate,Salaried,,0,75100.0,50000.0,716,60,Y
62,Female,Yes,Postgraduate,Business,Delhi,1,,80000.0,703,60,Y
40,Female,Yes,Graduate,Business,Lucknow,4,55700.0,50000.0,720,84,N
26,Female,Yes,Postgraduate,Salaried,Pune,2,82600.0,56000.0,779,84,Y
50,Male,Yes,,Self-Employed,Lucknow,4,77700.0,69000.0,746,60,Y
64,Female,No,Postgraduate,Salaried,Lucknow,3,94800.0,61000.0,685,36,Y
,Male,Yes,Graduate,Self-Employed,Bengaluru,2,75200.0,50000.0,598,84,Y
33,Male,Yes,High School,Salaried,Lucknow,1,38100.0,50000.0,638,60,N
41,Male,Yes,Postgraduate,Salaried,Mumbai,1,82300.0,55000.0,665,24,Y
44,Female,No,,Self-Employed,Delhi,0,44400.0,50000.0,698,60,N
32,Male,Yes,High School,Salaried,Delhi,2,16400.0,50000.0,647,36,N
33,Male,No,High School,Self-Employed,Delhi,1,25200.0,50000.0,614,24,N
31,Female,No,Graduate,Salaried,Delhi,1,37400.0,50000.0,597,36,N
65,Male,No,High School,Business,Mumbai,0,56900.0,50000.0,564,60,N
54,Male,No,High School,Self-Employed,Bengaluru,3,62300.0,50000.0,664,84,Y
58,Female,No,High School,Salaried,Pune,4,56300.0,50000.0,577,36,N
57,Male,No,Graduate,Self-Employed,,2,74800.0,50000.0,610,12,Y
64,Male,Yes,Graduate,Salaried,Delhi,2,64000.0,52000.0,652,84,N
,Female,No,Graduate,,Bengaluru,4,38100.0,50000.0,586,36,N
60,Female,Yes,High School,Salaried,Mumbai,2,67100.0,50000.0,707,24,N
23,Male,Yes,,Business,Delhi,3,33900.0,50000.0,732,60,N
42,Female,No,Graduate,Self-Employed,Delhi,2,50200.0,50000.0,642,24,Y
47,Male,No,Graduate,Business,Mumbai,2,65300.0,59000.0,649,24,Y
37,Male,No,Graduate,Business,Delhi,2,80800.0,50000.0,718,84,Y
27,Male,Yes,High School,Business,Pune,3,30200.0,50000.0,630,84,N
,Male,Yes,High School,Salaried,Pune,3,23900.0,50000.0,625,36,N
58,Female,Yes,High School,Business,Bengaluru,2,56200.0,50000.0,764,24,Y
35,Female,Yes,Graduate,,Delhi,0,53700.0,50000.0,742,84,Y
34,Male,Yes,Graduate,Salaried,Pune,4,49900.0,50000.0,722,12,Y
62,Male,Yes,Postgraduate,Salaried,Bengaluru,4,96500.0,50000.0,745,60,Y
27,Male,Yes,Graduate,Salaried,Delhi,0,28100.0,50000.0,542,36,N
62,Female,No,Graduate,Salaried,Bengaluru,1,65300.0,50000.0,775,84,Y
,Male,Yes,Graduate,Salaried,Mumbai,4,75100.0,50000.0,707,36,Y
47,Female,No,,Salaried,Mumbai,1,,50000.0,751,84,Y
28,Male,Yes,Graduate,Salaried,Delhi,4,39500.0,50000.0,707,12,N
28,Male,Yes,Graduate,Business,Mumbai,3,44200.0,50000.0,683,60,N
33,Female,Yes,Graduate,Self-Employed,Delhi,4,51500.0,50000.0,661,12,N
46,Female,Yes,High School,Salaried,Delhi,0,58200.0,50000.0,706,60,N
27,Male,No,Graduate,Salaried,Delhi,2,44200.0,50000.0,658,12,Y
41,Female,Yes,Postgraduate,Salaried,Lucknow,2,82800.0,72000.0,,84,Y
26,Female,Yes,High School,Salaried,Delhi,4,23000.0,50000.0,569,60,N
45,Male,No,Graduate,Self-Employed,Mumbai,1,68500.0,50000.0,642,12,N
21,Male,No,Graduate,Salaried,Mumbai,1,44500.0,50000.0,823,84,Y
,Male,Yes,High School,Self-Employed,Pune,0,63300.0,50000.0,636,24,N
23,Female,Yes,Graduate,Self-Employed,Bengaluru,3,,50000.0,663,36,Y
29,Male,Yes,Graduate,Salaried,Lucknow,4,54300.0,50000.0,618,12,N
28,Male,Yes,Postgraduate,Business,Delhi,0,65100.0,50000.0,704,12,Y
58,Male,Yes,Postgraduate,Salaried,Delhi,1,96200.0,52000.0,628,24,Y
23,Female,Yes,High School,Business,Bengaluru,1,39600.0,50000.0,667,36,N
,Male,No,Graduate,Self-Employed,Mumbai,4,49300.0,50000.0,739,36,Y
47,Female,,Graduate,Self-Employed,Pune,2,55900.0,51000.0,631,84,N
44,Male,Yes,High School,Self-Employed,Pune,1,47900.0,50000.0,735,12,N
,Female,Yes,Graduate,Self-Employed,Mumbai,1,72000.0,50000.0,,60,Y
57,Male,No,Postgraduate,Business,Lucknow,2,82500.0,75000.0,754,12,Y
38,Male,Yes,High School,Salaried,Bengaluru,1,,50000.0,690,24,N
,Female,No,Graduate,Self-Employed,Delhi,0,72200.0,50000.0,900,12,Y
35,Female,No,Postgraduate,Self-Employed,Mumbai,4,46000.0,50000.0,754,12,Y
,Male,Yes,Graduate,Salaried,Delhi,2,,55000.0,703,36,Y
43,Male,Yes,Graduate,Business,Pune,1,57900.0,50000.0,619,84,Y
54,Female,Yes,Postgraduate,Salaried,Delhi,3,87800.0,50000.0,673,60,Y
60,Female,Yes,Graduate,Salaried,Mumbai,3,,69000.0,780,84,Y
56,Male,No,High School,,,0,41900.0,50000.0,800,36,Y
59,Male,,High School,Salaried,Delhi,0,49300.0,50000.0,783,12,Y
45,Female,No,Postgraduate,Self-Employed,Delhi,0,50300.0,50000.0,735,24,Y
22,Female,Yes,High School,Salaried,Bengaluru,3,,50000.0,592,84,N
43,Female,Yes,Graduate,,Delhi,3,55100.0,50000.0,714,12,N
29,Male,Yes,High School,Salaried,,3,26100.0,50000.0,593,12,N
61,Male,,Graduate,Salaried,Mumbai,3,89300.0,50000.0,576,84,Y
31,Female,No,,Self-Employed,Delhi,2,79300.0,50000.0,697,12,Y
31,Female,Yes,Graduate,Business,Delhi,2,49900.0,50000.0,717,84,N
32,Female,,Postgraduate,Salaried,Pune,3,65500.0,50000.0,743,60,Y
49,Male,No,High School,Salaried,Lucknow,1,62500.0,50000.0,715,60,Y
46,Male,Yes,,Salaried,Delhi,4,62300.0,60000.0,717,36,Y
63,Female,No,,Self-Employed,Lucknow,4,88000.0,79000.0,611,12,Y
39,Male,Yes,Graduate,Salaried,Bengaluru,4,35600.0,50000.0,673,36,N
33,Female,Yes,High School,Salaried,Bengaluru,4,30500.0,50000.0,575,84,N
23,Male,Yes,Postgraduate,Salaried,Bengaluru,1,,61000.0,540,84,N
21,Female,Yes,Graduate,Salaried,Bengaluru,0,67300.0,50000.0,732,36,Y
37,Female,Yes,Graduate,Salaried,Pune,2,55100.0,50000.0,627,84,N
62,Male,Yes,Postgraduate,Salaried,Mumbai,3,87700.0,50000.0,741,60,Y
44,Male,No,High School,Self-Employed,Mumbai,3,31500.0,50000.0,758,12,Y
61,Female,Yes,Graduate,Self-Employed,Mumbai,1,82600.0,50000.0,,60,N
25,Male,Yes,High School,Salaried,Delhi,1,12000.0,50000.0,721,60,Y
25,Male,Yes,Graduate,Self-Employed,Bengaluru,2,50200.0,50000.0,634,36,N
,Female,Yes,High School,Business,Delhi,4,68100.0,63000.0,551,60,N
25,Female,Yes,Graduate,Salaried,Delhi,0,48800.0,50000.0,689,84,N
,Male,Yes,High School,Salaried,Delhi,1,24200.0,50000.0,647,36,N
39,Male,Yes,Graduate,,Delhi,1,63000.0,50000.0,649,24,Y
62,Male,Yes,,,Bengaluru,4,64000.0,50000.0,818,84,Y
52,Male,No,Graduate,Salaried,Bengaluru,2,58600.0,50000.0,573,84,N
25,Male,Yes,Graduate,Self-Employed,Mumbai,0,65800.0,52000.0,707,60,Y
58,Male,No,Graduate,Salaried,Delhi,1,69100.0,50000.0,610,60,N
58,Female,Yes,Graduate,Salaried,Mumbai,0,82600.0,50000.0,744,12,Y
,Male,Yes,Graduate,,Mumbai,2,,50000.0,701,36,Y
61,Female,No,Postgraduate,Salaried,Bengaluru,4,111300.0,64000.0,707,12,Y
31,Male,Yes,Graduate,Business,Bengaluru,2,66600.0,55000.0,614,36,N
65,Male,No,High School,,Mumbai,4,65000.0,50000.0,626,84,N
35,Female,Yes,Postgraduate,Business,Mumbai,3,79300.0,50000.0,745,24,Y
57,Female,Yes,Graduate,Salaried,Lucknow,4,79100.0,53000.0,804,84,Y
47,Male,No,High School,Self-Employed,Pune,1,325600.0,50000.0,714,12,Y
56,Male,Yes,Graduate,Salaried,Mumbai,4,78100.0,51000.0,617,12,N
49,Male,Yes,High School,Salaried,Mumbai,1,40500.0,50000.0,704,84,N
49,Male,No,High School,,Delhi,2,42900.0,50000.0,850,12,Y
